2024-03-07 15:43:04,132 - root - INFO - Epoch 30; loss: 16.083593368530273; CER: 1.0; WER: 1.0; val_loss: 16.198434829711914; val_CER: 1.0; val_WER: 1.0
2024-03-07 15:43:11,803 - root - INFO - Epoch 31; loss: 16.034372329711914; CER: 0.9989315867424011; WER: 1.0; val_loss: 16.071575164794922; val_CER: 1.0; val_WER: 1.0
2024-03-07 15:43:19,350 - root - INFO - Epoch 32; loss: 15.961308479309082; CER: 0.9931623935699463; WER: 1.0; val_loss: 16.017473220825195; val_CER: 1.0; val_WER: 1.0
2024-03-07 15:43:27,034 - root - INFO - Epoch 33; loss: 15.85814094543457; CER: 0.9854700565338135; WER: 1.0; val_loss: 15.918706893920898; val_CER: 1.0; val_WER: 1.0
2024-03-07 15:43:34,823 - root - INFO - Epoch 34; loss: 15.821309089660645; CER: 0.9688034057617188; WER: 1.0; val_loss: 16.23227310180664; val_CER: 0.9961538314819336; val_WER: 1.0
2024-03-07 15:43:43,256 - root - INFO - Epoch 35; loss: 15.697638511657715; CER: 0.9519230723381042; WER: 1.0; val_loss: 15.658011436462402; val_CER: 0.9711538553237915; val_WER: 1.0
2024-03-07 15:43:50,933 - root - INFO - Epoch 36; loss: 15.644770622253418; CER: 0.9527777433395386; WER: 1.0; val_loss: 15.527121543884277; val_CER: 0.9403846263885498; val_WER: 1.0
2024-03-07 15:43:58,575 - root - INFO - Epoch 37; loss: 15.556896209716797; CER: 0.9420940279960632; WER: 1.0; val_loss: 15.375946044921875; val_CER: 0.9384616017341614; val_WER: 1.0
2024-03-07 15:44:06,712 - root - INFO - Epoch 38; loss: 15.437518119812012; CER: 0.9450855255126953; WER: 1.0; val_loss: 15.122734069824219; val_CER: 0.9346153736114502; val_WER: 1.0
2024-03-07 15:44:14,477 - root - INFO - Epoch 39; loss: 15.296276092529297; CER: 0.9288461804389954; WER: 1.0; val_loss: 14.980756759643555; val_CER: 0.9365384578704834; val_WER: 1.0
2024-03-07 15:44:22,009 - root - INFO - Epoch 40; loss: 15.18532943725586; CER: 0.9344016909599304; WER: 1.0; val_loss: 14.781034469604492; val_CER: 0.9249999523162842; val_WER: 1.0
2024-03-07 15:44:29,244 - root - INFO - Epoch 41; loss: 15.07574462890625; CER: 0.9275641441345215; WER: 1.0; val_loss: 14.469891548156738; val_CER: 0.932692289352417; val_WER: 1.0
2024-03-07 15:44:36,612 - root - INFO - Epoch 42; loss: 14.888137817382812; CER: 0.920726478099823; WER: 1.0; val_loss: 14.300349235534668; val_CER: 0.9230769276618958; val_WER: 1.0
2024-03-07 15:44:44,084 - root - INFO - Epoch 43; loss: 14.722241401672363; CER: 0.9173077344894409; WER: 1.0; val_loss: 14.621406555175781; val_CER: 0.8942307829856873; val_WER: 1.0
2024-03-07 15:44:51,898 - root - INFO - Epoch 44; loss: 14.672853469848633; CER: 0.9138889312744141; WER: 1.0; val_loss: 13.711088180541992; val_CER: 0.9096153974533081; val_WER: 1.0
